ENDEREÇO GOOGLE MAPS,GPS,ALIMENTADOR,GPS - FUSIVEL
FVK0401,"https://www.google.com/maps/place/-7.07452117, -40.07746125",ARP01M2,"-7.07452117, -40.07746125"
FVK0403,"https://www.google.com/maps/place/-7.08899172, -40.06982613",ARP01M2,"-7.08899172, -40.06982613"
FVK0408,"https://www.google.com/maps/place/-7.0654559, -40.01421008",ARP01M2,"-7.0654559, -40.01421008"
FVK0413,"https://www.google.com/maps/place/-7.08972448, -39.98807839",ARP01M2,"-7.08972448, -39.98807839"
FVK0419,"https://www.google.com/maps/place/-7.20211052, -40.01384968",ARP01M2,"-7.20211052, -40.01384968"
FVK0435,"https://www.google.com/maps/place/-7.08598041, -40.0852289",ARP01M2,"-7.08598041, -40.0852289"
FVK0437,"https://www.google.com/maps/place/-7.19042154, -40.12757563",ARP01M2,"-7.19042154, -40.12757563"
FVK0464,"https://www.google.com/maps/place/-7.10222322, -40.02189608",ARP01M2,"-7.10222322, -40.02189608"
FVK0466,"https://www.google.com/maps/place/-7.16750586, -40.02217667",ARP01M2,"-7.16750586, -40.02217667"
FVK0468,"https://www.google.com/maps/place/-7.09045561, -40.02630665",ARP01M2,"-7.09045561, -40.02630665"
FVK0475,"https://www.google.com/maps/place/-7.18361216, -40.05104665",ARP01M2,"-7.18361216, -40.05104665"
FVK0479,"https://www.google.com/maps/place/-7.08670321, -40.08554747",ARP01M2,"-7.08670321, -40.08554747"
FVK0480,"https://www.google.com/maps/place/-7.09210271, -40.02585759",ARP01M2,"-7.09210271, -40.02585759"
FVK0501,"https://www.google.com/maps/place/-7.10751094, -39.97730517",ARP01M2,"-7.10751094, -39.97730517"
FVK0546,"https://www.google.com/maps/place/-7.1008342, -40.04453782",ARP01M2,"-7.1008342, -40.04453782"
FVK0571,"https://www.google.com/maps/place/-7.14465275, -40.02519554",ARP01M2,"-7.14465275, -40.02519554"
FVK0573,"https://www.google.com/maps/place/-7.16039687, -40.03029267",ARP01M2,"-7.16039687, -40.03029267"
FVK0574,"https://www.google.com/maps/place/-7.16115464, -40.02306808",ARP01M2,"-7.16115464, -40.02306808"
FVK0576,"https://www.google.com/maps/place/-7.19902869, -40.01686764",ARP01M2,"-7.19902869, -40.01686764"
FVK0729,"https://www.google.com/maps/place/-7.11772552, -40.07771563",ARP01M2,"-7.11772552, -40.07771563"
