ENDEREÇO GOOGLE MAPS,GPS,ALIMENTADOR,GPS - FUSIVEL
SPH1438,"https://www.google.com/maps/place/-6.46386862, -39.85106539",ANN01P2,"-6.46386862, -39.85106539"
FBH0401,"https://www.google.com/maps/place/-6.49907379, -39.73472385",ANN01P2,"-6.49907379, -39.73472385"
FPG0427,"https://www.google.com/maps/place/-6.57930989, -39.86287376",ANN01P2,"-6.57930989, -39.86287376"
FPG0486,"https://www.google.com/maps/place/-6.48161299, -39.70504503",ANN01P2,"-6.48161299, -39.70504503"
FPH1264,"https://www.google.com/maps/place/-6.4142284, -39.88327159",ANN01P2,"-6.4142284, -39.88327159"
FPH1275,"https://www.google.com/maps/place/-6.60425218, -39.91092033",ANN01P2,"-6.60425218, -39.91092033"
FPH1312,"https://www.google.com/maps/place/-6.54106769, -39.79673937",ANN01P2,"-6.54106769, -39.79673937"
FPH1315,"https://www.google.com/maps/place/-6.64401293, -39.92124231",ANN01P2,"-6.64401293, -39.92124231"
FPG0650,"https://www.google.com/maps/place/-6.54034108, -39.9054138",ANN01P2,"-6.54034108, -39.9054138"
FPG0653,"https://www.google.com/maps/place/-6.59995218, -39.91290241",ANN01P2,"-6.59995218, -39.91290241"
TSPG0689,"https://www.google.com/maps/place/-6.47813832, -39.69936997",ANN01P2,"-6.47813832, -39.69936997"
FPG0691,"https://www.google.com/maps/place/-6.4754941, -39.68827007",ANN01P2,"-6.4754941, -39.68827007"
FPG0703,"https://www.google.com/maps/place/-6.47930012, -39.66268209",ANN01P2,"-6.47930012, -39.66268209"
FPG0709,"https://www.google.com/maps/place/-6.47948823, -39.64301261",ANN01P2,"-6.47948823, -39.64301261"
FPG0715,"https://www.google.com/maps/place/-6.48113574, -39.64205607",ANN01P2,"-6.48113574, -39.64205607"
FPF1153,"https://www.google.com/maps/place/-6.72011796, -39.95383739",ANN01P2,"-6.72011796, -39.95383739"
FPF1214,"https://www.google.com/maps/place/-6.73651529, -39.9543308",ANN01P2,"-6.73651529, -39.9543308"
FPF1219,"https://www.google.com/maps/place/-6.71676481, -39.91941512",ANN01P2,"-6.71676481, -39.91941512"
FPG1318,"https://www.google.com/maps/place/-6.65258681, -39.96895808",ANN01P2,"-6.65258681, -39.96895808"
FPF1246,"https://www.google.com/maps/place/-6.5402329, -39.90521463",ANN01P2,"-6.5402329, -39.90521463"
FPF1628,"https://www.google.com/maps/place/-6.5509261, -39.81980045",ANN01P2,"-6.5509261, -39.81980045"
FPF4117,"https://www.google.com/maps/place/-6.76364732, -39.97834314",ANN01P2,"-6.76364732, -39.97834314"
FPF4133,"https://www.google.com/maps/place/-6.75952884, -39.97538523",ANN01P2,"-6.75952884, -39.97538523"
FPF4150,"https://www.google.com/maps/place/-6.75340513, -39.97105715",ANN01P2,"-6.75340513, -39.97105715"
FPF4168,"https://www.google.com/maps/place/-6.75212253, -39.97017695",ANN01P2,"-6.75212253, -39.97017695"
FPF4192,"https://www.google.com/maps/place/-6.73488015, -39.95794662",ANN01P2,"-6.73488015, -39.95794662"
FPF5776,"https://www.google.com/maps/place/-6.73379557, -39.95753735",ANN01P2,"-6.73379557, -39.95753735"
FPF5806,"https://www.google.com/maps/place/-6.72376281, -39.95395306",ANN01P2,"-6.72376281, -39.95395306"
FPF5830,"https://www.google.com/maps/place/-6.70717768, -39.95234659",ANN01P2,"-6.70717768, -39.95234659"
FPF5881,"https://www.google.com/maps/place/-6.70186564, -39.9537476",ANN01P2,"-6.70186564, -39.9537476"
FPF5911,"https://www.google.com/maps/place/-6.67376812, -39.94653742",ANN01P2,"-6.67376812, -39.94653742"
FPF5946,"https://www.google.com/maps/place/-6.64483611, -39.91632283",ANN01P2,"-6.64483611, -39.91632283"
FPF5989,"https://www.google.com/maps/place/-6.63573291, -39.91356512",ANN01P2,"-6.63573291, -39.91356512"
FPF6020,"https://www.google.com/maps/place/-6.54572987, -39.90655402",ANN01P2,"-6.54572987, -39.90655402"
FPF6080,"https://www.google.com/maps/place/-6.54178344, -39.9081025",ANN01P2,"-6.54178344, -39.9081025"
FPF6160,"https://www.google.com/maps/place/-6.55213804, -39.90416884",ANN01P2,"-6.55213804, -39.90416884"
FPF6233,"https://www.google.com/maps/place/-6.53443221, -39.90174939",ANN01P2,"-6.53443221, -39.90174939"
FPF6420,"https://www.google.com/maps/place/-6.56034466, -39.90763861",ANN01P2,"-6.56034466, -39.90763861"
FPF6578,"https://www.google.com/maps/place/-6.64562261, -39.95950961",ANN01P2,"-6.64562261, -39.95950961"
FPF6586,"https://www.google.com/maps/place/-6.64613988, -39.95862411",ANN01P2,"-6.64613988, -39.95862411"
FPF6667,"https://www.google.com/maps/place/-6.64743249, -39.96833287",ANN01P2,"-6.64743249, -39.96833287"
FPF6772,"https://www.google.com/maps/place/-6.55270579, -39.90029888",ANN01P2,"-6.55270579, -39.90029888"
FPF6802,"https://www.google.com/maps/place/-6.55190566, -39.89250122",ANN01P2,"-6.55190566, -39.89250122"
FPF6845,"https://www.google.com/maps/place/-6.56008665, -39.88499074",ANN01P2,"-6.56008665, -39.88499074"
FPH0025,"https://www.google.com/maps/place/-6.55794672, -39.7963953",ANN01P2,"-6.55794672, -39.7963953"
FPH0028,"https://www.google.com/maps/place/-6.44477605, -39.8923577",ANN01P2,"-6.44477605, -39.8923577"
FPH0031,"https://www.google.com/maps/place/-6.41703546, -39.90227355",ANN01P2,"-6.41703546, -39.90227355"
FPH0033,"https://www.google.com/maps/place/-6.41450633, -39.90028893",ANN01P2,"-6.41450633, -39.90028893"
FPH0036,"https://www.google.com/maps/place/-6.67753514, -39.94897816",ANN01P2,"-6.67753514, -39.94897816"
FPH0038,"https://www.google.com/maps/place/-6.67739961, -39.94890553",ANN01P2,"-6.67739961, -39.94890553"
FPH0040,"https://www.google.com/maps/place/-6.67237033, -39.9443636",ANN01P2,"-6.67237033, -39.9443636"
FPH0042,"https://www.google.com/maps/place/-6.66513319, -39.93551152",ANN01P2,"-6.66513319, -39.93551152"
FPH0044,"https://www.google.com/maps/place/-6.65877037, -39.92817205",ANN01P2,"-6.65877037, -39.92817205"
FPH0046,"https://www.google.com/maps/place/-6.65423055, -39.92294391",ANN01P2,"-6.65423055, -39.92294391"
FPH0060,"https://www.google.com/maps/place/-6.55049659, -39.8759747",ANN01P2,"-6.55049659, -39.8759747"
FPH0064,"https://www.google.com/maps/place/-6.54908407, -39.8451671",ANN01P2,"-6.54908407, -39.8451671"
FPF6861,"https://www.google.com/maps/place/-6.55180087, -39.8852746",ANN01P2,"-6.55180087, -39.8852746"
FPF6926,"https://www.google.com/maps/place/-6.56862323, -39.8706338",ANN01P2,"-6.56862323, -39.8706338"
FPF6985,"https://www.google.com/maps/place/-6.57456782, -39.86428562",ANN01P2,"-6.57456782, -39.86428562"
FPF7140,"https://www.google.com/maps/place/-6.54895944, -39.85467255",ANN01P2,"-6.54895944, -39.85467255"
FPF7175,"https://www.google.com/maps/place/-6.5481803, -39.85008572",ANN01P2,"-6.5481803, -39.85008572"
FPF7183,"https://www.google.com/maps/place/-6.54807818, -39.84627786",ANN01P2,"-6.54807818, -39.84627786"
FPF7213,"https://www.google.com/maps/place/-6.54822219, -39.84132178",ANN01P2,"-6.54822219, -39.84132178"
FPF7221,"https://www.google.com/maps/place/-6.5501942, -39.83035416",ANN01P2,"-6.5501942, -39.83035416"
FPF7256,"https://www.google.com/maps/place/-6.5508333, -39.82675551",ANN01P2,"-6.5508333, -39.82675551"
FPF7272,"https://www.google.com/maps/place/-6.55136263, -39.82388927",ANN01P2,"-6.55136263, -39.82388927"
FPF7310,"https://www.google.com/maps/place/-6.54401144, -39.81676835",ANN01P2,"-6.54401144, -39.81676835"
FPF7361,"https://www.google.com/maps/place/-6.54290478, -39.80751416",ANN01P2,"-6.54290478, -39.80751416"
FPF7388,"https://www.google.com/maps/place/-6.54179113, -39.80253797",ANN01P2,"-6.54179113, -39.80253797"
FPF7396,"https://www.google.com/maps/place/-6.54045225, -39.79696451",ANN01P2,"-6.54045225, -39.79696451"
FPF7418,"https://www.google.com/maps/place/-6.53838565, -39.78819727",ANN01P2,"-6.53838565, -39.78819727"
FPF7442,"https://www.google.com/maps/place/-6.53298783, -39.78096247",ANN01P2,"-6.53298783, -39.78096247"
FPF7485,"https://www.google.com/maps/place/-6.52954775, -39.7769596",ANN01P2,"-6.52954775, -39.7769596"
FPF7507,"https://www.google.com/maps/place/-6.52323239, -39.77219267",ANN01P2,"-6.52323239, -39.77219267"
FPF7531,"https://www.google.com/maps/place/-6.5179785, -39.76530214",ANN01P2,"-6.5179785, -39.76530214"
FPF7574,"https://www.google.com/maps/place/-6.51301023, -39.7548579",ANN01P2,"-6.51301023, -39.7548579"
FPF7744,"https://www.google.com/maps/place/-6.54838786, -39.75406069",ANN01P2,"-6.54838786, -39.75406069"
FPF7760,"https://www.google.com/maps/place/-6.54718722, -39.75246704",ANN01P2,"-6.54718722, -39.75246704"
FPF7809,"https://www.google.com/maps/place/-6.57083924, -39.74141332",ANN01P2,"-6.57083924, -39.74141332"
FPF7884,"https://www.google.com/maps/place/-6.5501255, -39.77132041",ANN01P2,"-6.5501255, -39.77132041"
FPF7965,"https://www.google.com/maps/place/-6.55802774, -39.79663963",ANN01P2,"-6.55802774, -39.79663963"
FPH0069,"https://www.google.com/maps/place/-6.55777275, -39.90936144",ANN01P2,"-6.55777275, -39.90936144"
FPH0076,"https://www.google.com/maps/place/-6.56863063, -39.95110368",ANN01P2,"-6.56863063, -39.95110368"
FPH0084,"https://www.google.com/maps/place/-6.53146279, -39.90322729",ANN01P2,"-6.53146279, -39.90322729"
FPH0092,"https://www.google.com/maps/place/-6.46139348, -39.89144632",ANN01P2,"-6.46139348, -39.89144632"
FPH0110,"https://www.google.com/maps/place/-6.41692134, -39.84725286",ANN01P2,"-6.41692134, -39.84725286"
FPH0118,"https://www.google.com/maps/place/-6.4711176, -39.83789279",ANN01P2,"-6.4711176, -39.83789279"
FPH0125,"https://www.google.com/maps/place/-6.48008274, -39.81484737",ANN01P2,"-6.48008274, -39.81484737"
FPH0130,"https://www.google.com/maps/place/-6.48173218, -39.80147499",ANN01P2,"-6.48173218, -39.80147499"
FPH0134,"https://www.google.com/maps/place/-6.49720428, -39.79277237",ANN01P2,"-6.49720428, -39.79277237"
FPH0144,"https://www.google.com/maps/place/-6.54975555, -39.75884734",ANN01P2,"-6.54975555, -39.75884734"
FPH0151,"https://www.google.com/maps/place/-6.51808759, -39.76494054",ANN01P2,"-6.51808759, -39.76494054"
FPH0152,"https://www.google.com/maps/place/-6.51885427, -39.7663797",ANN01P2,"-6.51885427, -39.7663797"
FPH0164,"https://www.google.com/maps/place/-6.56437579, -39.84196389",ANN01P2,"-6.56437579, -39.84196389"
FPH0167,"https://www.google.com/maps/place/-6.47522434, -39.91633866",ANN01P2,"-6.47522434, -39.91633866"
FPH0168,"https://www.google.com/maps/place/-6.48787275, -39.91941807",ANN01P2,"-6.48787275, -39.91941807"
FPH0171,"https://www.google.com/maps/place/-6.47473749, -39.92544398",ANN01P2,"-6.47473749, -39.92544398"
FPH0175,"https://www.google.com/maps/place/-6.4693264, -39.93651154",ANN01P2,"-6.4693264, -39.93651154"
FPH0178,"https://www.google.com/maps/place/-6.4716737, -39.93889412",ANN01P2,"-6.4716737, -39.93889412"
FPH0179,"https://www.google.com/maps/place/-6.46572821, -39.9598531",ANN01P2,"-6.46572821, -39.9598531"
FPH0189,"https://www.google.com/maps/place/-6.45004145, -39.98037678",ANN01P2,"-6.45004145, -39.98037678"
FPH0192,"https://www.google.com/maps/place/-6.45139937, -39.99840071",ANN01P2,"-6.45139937, -39.99840071"
FPH0195,"https://www.google.com/maps/place/-6.45144761, -40.00147518",ANN01P2,"-6.45144761, -40.00147518"
FPH0196,"https://www.google.com/maps/place/-6.46601096, -40.00544634",ANN01P2,"-6.46601096, -40.00544634"
FPH0205,"https://www.google.com/maps/place/-6.44493334, -40.01621013",ANN01P2,"-6.44493334, -40.01621013"
FPH0210,"https://www.google.com/maps/place/-6.43274157, -40.02497462",ANN01P2,"-6.43274157, -40.02497462"
FPH0212,"https://www.google.com/maps/place/-6.43172626, -40.0261209",ANN01P2,"-6.43172626, -40.0261209"
FPH0214,"https://www.google.com/maps/place/-6.428169, -40.03194573",ANN01P2,"-6.428169, -40.03194573"
FPH0222,"https://www.google.com/maps/place/-6.69205516, -39.92845185",ANN01P2,"-6.69205516, -39.92845185"
FPH0229,"https://www.google.com/maps/place/-6.74804008, -39.96725545",ANN01P2,"-6.74804008, -39.96725545"
FPH0238,"https://www.google.com/maps/place/-6.68947794, -39.92333555",ANN01P2,"-6.68947794, -39.92333555"
FPH0261,"https://www.google.com/maps/place/-6.73608723, -39.9558409",ANN01P2,"-6.73608723, -39.9558409"
FPH0266,"https://www.google.com/maps/place/-6.71638305, -39.95352251",ANN01P2,"-6.71638305, -39.95352251"
FPH0270,"https://www.google.com/maps/place/-6.54653329, -39.87686318",ANN01P2,"-6.54653329, -39.87686318"
FPH0272,"https://www.google.com/maps/place/-6.45416453, -39.89769116",ANN01P2,"-6.45416453, -39.89769116"
FPH0276,"https://www.google.com/maps/place/-6.55072553, -39.86390989",ANN01P2,"-6.55072553, -39.86390989"
FPH0277,"https://www.google.com/maps/place/-6.5171418, -39.8996746",ANN01P2,"-6.5171418, -39.8996746"
FPH0281,"https://www.google.com/maps/place/-6.55140822, -39.86666057",ANN01P2,"-6.55140822, -39.86666057"
FPH0283,"https://www.google.com/maps/place/-6.49265556, -39.92548569",ANN01P2,"-6.49265556, -39.92548569"
FPH0284,"https://www.google.com/maps/place/-6.4792795, -39.95879353",ANN01P2,"-6.4792795, -39.95879353"
FPH0295,"https://www.google.com/maps/place/-6.58058302, -39.85364106",ANN01P2,"-6.58058302, -39.85364106"
FPH0297,"https://www.google.com/maps/place/-6.52806955, -39.90398089",ANN01P2,"-6.52806955, -39.90398089"
FPH0298,"https://www.google.com/maps/place/-6.58040529, -39.8517775",ANN01P2,"-6.58040529, -39.8517775"
FPH0299,"https://www.google.com/maps/place/-6.57933276, -39.8388052",ANN01P2,"-6.57933276, -39.8388052"
FPH0304,"https://www.google.com/maps/place/-6.58151486, -39.85352507",ANN01P2,"-6.58151486, -39.85352507"
FPH0307,"https://www.google.com/maps/place/-6.51354154, -39.89985811",ANN01P2,"-6.51354154, -39.89985811"
FPH0314,"https://www.google.com/maps/place/-6.55701674, -39.90727985",ANN01P2,"-6.55701674, -39.90727985"
FPH0316,"https://www.google.com/maps/place/-6.43278403, -39.85425072",ANN01P2,"-6.43278403, -39.85425072"
FPH0320,"https://www.google.com/maps/place/-6.4563261, -39.88748582",ANN01P2,"-6.4563261, -39.88748582"
FPH0322,"https://www.google.com/maps/place/-6.48071902, -39.79578516",ANN01P2,"-6.48071902, -39.79578516"
FPH0327,"https://www.google.com/maps/place/-6.47760285, -39.81577484",ANN01P2,"-6.47760285, -39.81577484"
FPH0329,"https://www.google.com/maps/place/-6.64386048, -39.96333259",ANN01P2,"-6.64386048, -39.96333259"
FPH0331,"https://www.google.com/maps/place/-6.74124032, -39.95709957",ANN01P2,"-6.74124032, -39.95709957"
FPH0333,"https://www.google.com/maps/place/-6.66850874, -39.93932644",ANN01P2,"-6.66850874, -39.93932644"
SPH0335,"https://www.google.com/maps/place/-6.53580676, -39.90695217",ANN01P2,"-6.53580676, -39.90695217"
FPH0337,"https://www.google.com/maps/place/-6.60848255, -39.90743657",ANN01P2,"-6.60848255, -39.90743657"
FPH0339,"https://www.google.com/maps/place/-6.51918279, -39.76447191",ANN01P2,"-6.51918279, -39.76447191"
FPH0342,"https://www.google.com/maps/place/-6.54020513, -39.9254462",ANN01P2,"-6.54020513, -39.9254462"
FPH0346,"https://www.google.com/maps/place/-6.55029517, -39.86694807",ANN01P2,"-6.55029517, -39.86694807"
FPH0348,"https://www.google.com/maps/place/-6.5641971, -39.90804354",ANN01P2,"-6.5641971, -39.90804354"
FPH0352,"https://www.google.com/maps/place/-6.54210174, -39.9121458",ANN01P2,"-6.54210174, -39.9121458"
FPH0353,"https://www.google.com/maps/place/-6.54241646, -39.91316836",ANN01P2,"-6.54241646, -39.91316836"
FPH0354,"https://www.google.com/maps/place/-6.53908247, -39.926032",ANN01P2,"-6.53908247, -39.926032"
FPH0357,"https://www.google.com/maps/place/-6.63067223, -39.90617448",ANN01P2,"-6.63067223, -39.90617448"
FPH0363,"https://www.google.com/maps/place/-6.44482943, -39.70835805",ANN01P2,"-6.44482943, -39.70835805"
FPH0365,"https://www.google.com/maps/place/-6.44455177, -39.70637729",ANN01P2,"-6.44455177, -39.70637729"
FPH0367,"https://www.google.com/maps/place/-6.53932303, -39.90316903",ANN01P2,"-6.53932303, -39.90316903"
FPG0118,"https://www.google.com/maps/place/-6.52981631, -39.91839097",ANN01P2,"-6.52981631, -39.91839097"
FPH0379,"https://www.google.com/maps/place/-6.54449352, -39.89994953",ANN01P2,"-6.54449352, -39.89994953"
FPH0403,"https://www.google.com/maps/place/-6.7067887, -39.95237297",ANN01P2,"-6.7067887, -39.95237297"
FPH0411,"https://www.google.com/maps/place/-6.51592044, -39.93467133",ANN01P2,"-6.51592044, -39.93467133"
FPH0417,"https://www.google.com/maps/place/-6.45819651, -39.62719627",ANN01P2,"-6.45819651, -39.62719627"
FPH0463,"https://www.google.com/maps/place/-6.50501026, -39.7452595",ANN01P2,"-6.50501026, -39.7452595"
FPH0468,"https://www.google.com/maps/place/-6.53485645, -39.90223853",ANN01P2,"-6.53485645, -39.90223853"
FPH0476,"https://www.google.com/maps/place/-6.46752721, -39.63800555",ANN01P2,"-6.46752721, -39.63800555"
FPH0477,"https://www.google.com/maps/place/-6.45948203, -39.63366377",ANN01P2,"-6.45948203, -39.63366377"
FPH0489,"https://www.google.com/maps/place/-6.73817557, -39.9563607",ANN01P2,"-6.73817557, -39.9563607"
FPH0502,"https://www.google.com/maps/place/-6.48956394, -39.71795228",ANN01P2,"-6.48956394, -39.71795228"
FPH0504,"https://www.google.com/maps/place/-6.52630611, -39.91880059",ANN01P2,"-6.52630611, -39.91880059"
FPH0505,"https://www.google.com/maps/place/-6.52043737, -39.92295002",ANN01P2,"-6.52043737, -39.92295002"
FPH0507,"https://www.google.com/maps/place/-6.51581894, -39.92594406",ANN01P2,"-6.51581894, -39.92594406"
FPH0508,"https://www.google.com/maps/place/-6.52156993, -39.93661714",ANN01P2,"-6.52156993, -39.93661714"
FPH0511,"https://www.google.com/maps/place/-6.51432228, -39.9331581",ANN01P2,"-6.51432228, -39.9331581"
FPH0519,"https://www.google.com/maps/place/-6.50686814, -39.74282944",ANN01P2,"-6.50686814, -39.74282944"
FPH0521,"https://www.google.com/maps/place/-6.46144676, -39.71428629",ANN01P2,"-6.46144676, -39.71428629"
FPH0532,"https://www.google.com/maps/place/-6.44244318, -39.7390278",ANN01P2,"-6.44244318, -39.7390278"
FPH0534,"https://www.google.com/maps/place/-6.43644766, -39.73791593",ANN01P2,"-6.43644766, -39.73791593"
FPH0537,"https://www.google.com/maps/place/-6.43209633, -39.73824423",ANN01P2,"-6.43209633, -39.73824423"
FPH0543,"https://www.google.com/maps/place/-6.43248107, -39.72856924",ANN01P2,"-6.43248107, -39.72856924"
FPH0551,"https://www.google.com/maps/place/-6.42662845, -39.72233969",ANN01P2,"-6.42662845, -39.72233969"
FPH0565,"https://www.google.com/maps/place/-6.44472001, -39.7089909",ANN01P2,"-6.44472001, -39.7089909"
FPH0568,"https://www.google.com/maps/place/-6.42585557, -39.73783737",ANN01P2,"-6.42585557, -39.73783737"
FPH1141,"https://www.google.com/maps/place/-6.53705747, -39.90556164",ANN01P2,"-6.53705747, -39.90556164"
FPH1143,"https://www.google.com/maps/place/-6.75673791, -39.97343434",ANN01P2,"-6.75673791, -39.97343434"
FPH1145,"https://www.google.com/maps/place/-6.69821269, -39.95314342",ANN01P2,"-6.69821269, -39.95314342"
FPH1153,"https://www.google.com/maps/place/-6.53958119, -39.72709498",ANN01P2,"-6.53958119, -39.72709498"
FPH1157,"https://www.google.com/maps/place/-6.41310243, -39.84287928",ANN01P2,"-6.41310243, -39.84287928"
FPH1158,"https://www.google.com/maps/place/-6.41194583, -39.84215402",ANN01P2,"-6.41194583, -39.84215402"
FPH1162,"https://www.google.com/maps/place/-6.52212608, -39.7621249",ANN01P2,"-6.52212608, -39.7621249"
FPH1168,"https://www.google.com/maps/place/-6.50846798, -39.79705869",ANN01P2,"-6.50846798, -39.79705869"
FPH1167,"https://www.google.com/maps/place/-6.50097043, -39.79066205",ANN01P2,"-6.50097043, -39.79066205"
FPH1172,"https://www.google.com/maps/place/-6.50902992, -39.83006931",ANN01P2,"-6.50902992, -39.83006931"
FPH1173,"https://www.google.com/maps/place/-6.51196918, -39.8303364",ANN01P2,"-6.51196918, -39.8303364"
FPH1177,"https://www.google.com/maps/place/-6.51544201, -39.8523638",ANN01P2,"-6.51544201, -39.8523638"
FPH1180,"https://www.google.com/maps/place/-6.51935536, -39.85426057",ANN01P2,"-6.51935536, -39.85426057"
FPH1186,"https://www.google.com/maps/place/-6.41544073, -39.90386212",ANN01P2,"-6.41544073, -39.90386212"
FPH1187,"https://www.google.com/maps/place/-6.41087501, -39.92804085",ANN01P2,"-6.41087501, -39.92804085"
FPH1189,"https://www.google.com/maps/place/-6.4143164, -39.93066919",ANN01P2,"-6.4143164, -39.93066919"
FPH1191,"https://www.google.com/maps/place/-6.41748747, -39.9327184",ANN01P2,"-6.41748747, -39.9327184"
FPH1193,"https://www.google.com/maps/place/-6.42102392, -39.93279717",ANN01P2,"-6.42102392, -39.93279717"
FPH1195,"https://www.google.com/maps/place/-6.42437827, -39.93353567",ANN01P2,"-6.42437827, -39.93353567"
FPH1198,"https://www.google.com/maps/place/-6.65205678, -39.94843166",ANN01P2,"-6.65205678, -39.94843166"
FPH1210,"https://www.google.com/maps/place/-6.42949449, -39.93531724",ANN01P2,"-6.42949449, -39.93531724"
FPH1212,"https://www.google.com/maps/place/-6.43201445, -39.93727494",ANN01P2,"-6.43201445, -39.93727494"
FPH1214,"https://www.google.com/maps/place/-6.43592017, -39.94312333",ANN01P2,"-6.43592017, -39.94312333"
FPH1216,"https://www.google.com/maps/place/-6.43620876, -39.94358502",ANN01P2,"-6.43620876, -39.94358502"
FPH1217,"https://www.google.com/maps/place/-6.43640408, -39.94556561",ANN01P2,"-6.43640408, -39.94556561"
FPH1219,"https://www.google.com/maps/place/-6.43592043, -39.94787046",ANN01P2,"-6.43592043, -39.94787046"
FPH1221,"https://www.google.com/maps/place/-6.43318749, -39.94860685",ANN01P2,"-6.43318749, -39.94860685"
FPH1224,"https://www.google.com/maps/place/-6.4503298, -39.93767927",ANN01P2,"-6.4503298, -39.93767927"
FPH1226,"https://www.google.com/maps/place/-6.43625691, -39.92216417",ANN01P2,"-6.43625691, -39.92216417"
FPH1228,"https://www.google.com/maps/place/-6.43430203, -39.91778422",ANN01P2,"-6.43430203, -39.91778422"
FPH1230,"https://www.google.com/maps/place/-6.42998407, -39.91467503",ANN01P2,"-6.42998407, -39.91467503"
FPH1233,"https://www.google.com/maps/place/-6.51929186, -39.7641284",ANN01P2,"-6.51929186, -39.7641284"
FPH1234,"https://www.google.com/maps/place/-6.52181051, -39.76145516",ANN01P2,"-6.52181051, -39.76145516"
FPH1237,"https://www.google.com/maps/place/-6.57704788, -39.90924265",ANN01P2,"-6.57704788, -39.90924265"
FPH1238,"https://www.google.com/maps/place/-6.57579439, -39.90716913",ANN01P2,"-6.57579439, -39.90716913"
FPH1239,"https://www.google.com/maps/place/-6.57571571, -39.90566756",ANN01P2,"-6.57571571, -39.90566756"
FPH1241,"https://www.google.com/maps/place/-6.57624022, -39.89567403",ANN01P2,"-6.57624022, -39.89567403"
FPH1243,"https://www.google.com/maps/place/-6.57430984, -39.89273104",ANN01P2,"-6.57430984, -39.89273104"
FPH1258,"https://www.google.com/maps/place/-6.41166102, -39.89806869",ANN01P2,"-6.41166102, -39.89806869"
FPH1259,"https://www.google.com/maps/place/-6.41581832, -39.88444074",ANN01P2,"-6.41581832, -39.88444074"
FPH1260,"https://www.google.com/maps/place/-6.41672678, -39.88215469",ANN01P2,"-6.41672678, -39.88215469"
FPH1261,"https://www.google.com/maps/place/-6.41785909, -39.8811801",ANN01P2,"-6.41785909, -39.8811801"
SPF5865,"https://www.google.com/maps/place/-6.6830775, -39.95009252",ANN01P2,"-6.6830775, -39.95009252"
SPF6012,"https://www.google.com/maps/place/-6.55061375, -39.90678894",ANN01P2,"-6.55061375, -39.90678894"
SPF6152,"https://www.google.com/maps/place/-6.5521452, -39.90521799",ANN01P2,"-6.5521452, -39.90521799"
SPF6217,"https://www.google.com/maps/place/-6.5341145, -39.9023819",ANN01P2,"-6.5341145, -39.9023819"
SPF6314,"https://www.google.com/maps/place/-6.54069172, -39.90659016",ANN01P2,"-6.54069172, -39.90659016"
SPF6446,"https://www.google.com/maps/place/-6.6447539, -39.91675689",ANN01P2,"-6.6447539, -39.91675689"
SPF6470,"https://www.google.com/maps/place/-6.6439397, -39.92171257",ANN01P2,"-6.6439397, -39.92171257"
FPF6489,"https://www.google.com/maps/place/-6.64367048, -39.9254209",ANN01P2,"-6.64367048, -39.9254209"
SPF6500,"https://www.google.com/maps/place/-6.6472188, -39.93839947",ANN01P2,"-6.6472188, -39.93839947"
SPF6551,"https://www.google.com/maps/place/-6.65003947, -39.94385957",ANN01P2,"-6.65003947, -39.94385957"
SPF6616,"https://www.google.com/maps/place/-6.6422528, -39.966794",ANN01P2,"-6.6422528, -39.966794"
SPF6624,"https://www.google.com/maps/place/-6.64276807, -39.96693974",ANN01P2,"-6.64276807, -39.96693974"
SPF6705,"https://www.google.com/maps/place/-6.65033779, -39.96735255",ANN01P2,"-6.65033779, -39.96735255"
FPF6713,"https://www.google.com/maps/place/-6.65098997, -39.96686534",ANN01P2,"-6.65098997, -39.96686534"
SPF6748,"https://www.google.com/maps/place/-6.55204546, -39.90032483",ANN01P2,"-6.55204546, -39.90032483"
SPF6810,"https://www.google.com/maps/place/-6.55193154, -39.89320673",ANN01P2,"-6.55193154, -39.89320673"
FPF6888,"https://www.google.com/maps/place/-6.55165814, -39.8685965",ANN01P2,"-6.55165814, -39.8685965"
SPF7566,"https://www.google.com/maps/place/-6.51606575, -39.76208862",ANN01P2,"-6.51606575, -39.76208862"
SPF7671,"https://www.google.com/maps/place/-6.55089728, -39.76941318",ANN01P2,"-6.55089728, -39.76941318"
SPF7728,"https://www.google.com/maps/place/-6.54955852, -39.75754462",ANN01P2,"-6.54955852, -39.75754462"
SPG0058,"https://www.google.com/maps/place/-6.5614204, -39.73703976",ANN01P2,"-6.5614204, -39.73703976"
FPG0117,"https://www.google.com/maps/place/-6.47181944, -39.90340122",ANN01P2,"-6.47181944, -39.90340122"
TSPG0125,"https://www.google.com/maps/place/-6.46393411, -39.89718389",ANN01P2,"-6.46393411, -39.89718389"
SPG0435,"https://www.google.com/maps/place/-6.49555565, -39.72808972",ANN01P2,"-6.49555565, -39.72808972"
SPG0668,"https://www.google.com/maps/place/-6.64478692, -39.9613443",ANN01P2,"-6.64478692, -39.9613443"
SPG0726,"https://www.google.com/maps/place/-6.76774816, -39.98106581",ANN01P2,"-6.76774816, -39.98106581"
SPG1490,"https://www.google.com/maps/place/-6.64805693, -39.9400022",ANN01P2,"-6.64805693, -39.9400022"
SPG1660,"https://www.google.com/maps/place/-6.53138977, -39.77905166",ANN01P2,"-6.53138977, -39.77905166"
SPG6640,"https://www.google.com/maps/place/-6.6465556, -39.96809596",ANN01P2,"-6.6465556, -39.96809596"
SPH0108,"https://www.google.com/maps/place/-6.42531857, -39.85615521",ANN01P2,"-6.42531857, -39.85615521"
