CD,LOCALIZAÇÃO,ALIMENTADOR,TOTAL CLIENTES,TOTAL POTENCIA,GPS - BT
TOS1721,"https://www.google.com/maps/place/-7.28599997,-38.94859361",MLG01Y5,13,15,"-7.28599997,-38.94859361"
TOS1708,"https://www.google.com/maps/place/-7.25034308,-39.0962181",MLG01Y5,0,45,"-7.25034308,-39.0962181"
TOS1723,"https://www.google.com/maps/place/-7.30632599,-38.9486547",MLG01Y5,52,45,"-7.30632599,-38.9486547"
TOS1731,"https://www.google.com/maps/place/-7.25210752,-39.1306144",MLG01Y5,87,75,"-7.25210752,-39.1306144"
TOS0193,"https://www.google.com/maps/place/-7.33277528,-38.9426537",MLG01Y5,4,45,"-7.33277528,-38.9426537"
TOS1729,"https://www.google.com/maps/place/-7.28848909,-39.03655159",MLG01Y5,11,45,"-7.28848909,-39.03655159"
TOS1719,"https://www.google.com/maps/place/-7.25044846,-39.14283407",MLG01Y5,0,75,"-7.25044846,-39.14283407"
TOS1727,"https://www.google.com/maps/place/-7.28685275,-38.97944085",MLG01Y5,4,15,"-7.28685275,-38.97944085"
TOS1735,"https://www.google.com/maps/place/-7.19330083,-39.09141465",MLG01Y5,11,45,"-7.19330083,-39.09141465"
TOS1733,"https://www.google.com/maps/place/-7.32620202,-38.97644915",MLG01Y5,1,15,"-7.32620202,-38.97644915"
TOS2225,"https://www.google.com/maps/place/-7.29695614,-39.03475846",MLG01Y5,1,75,"-7.29695614,-39.03475846"
TOS1738,"https://www.google.com/maps/place/-7.20515368,-39.11890737",MLG01Y5,0,10,"-7.20515368,-39.11890737"
TOS2233,"https://www.google.com/maps/place/-7.24615113,-39.11249551",MLG01Y5,2,10,"-7.24615113,-39.11249551"
TOS2227,"https://www.google.com/maps/place/-7.25060253,-39.14189202",MLG01Y5,106,45,"-7.25060253,-39.14189202"
